match_id,date,time_local,league,home,away,ft_home_goals,ft_away_goals,odds_1,odds_x,odds_2,xg_for_home,xg_against_home,xg_for_away,xg_against_away,rest_days_home,rest_days_away,derby_flag,europe_flag_home,europe_flag_away,meteo_flag,style_ppda_home,style_ppda_away,travel_km_away,target_ou25,target_btts,target_1x2,home_form_xg_for,home_form_xg_against,home_form_xg_diff,home_form_wins,home_form_draws,home_form_losses,home_form_goals_for,home_form_goals_against,home_form_points,home_form_trend,away_form_xg_for,away_form_xg_against,away_form_xg_diff,away_form_wins,away_form_draws,away_form_losses,away_form_goals_for,away_form_goals_against,away_form_points,away_form_trend,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_home_goals_avg,h2h_away_goals_avg,h2h_home_xg_avg,h2h_away_xg_avg,h2h_total_over25,home_position,home_points,home_goal_difference,home_pressure_top,home_pressure_relegation,away_position,away_points,away_goal_difference,away_pressure_top,away_pressure_relegation,home_winning_streak,home_unbeaten_streak,home_losing_streak,home_clean_sheet_streak,home_scoring_streak,home_xg_momentum,away_winning_streak,away_unbeaten_streak,away_losing_streak,away_clean_sheet_streak,away_scoring_streak,away_xg_momentum,position_gap,points_gap,form_diff,momentum_diff
20240830_VENEZIA_TORINO_SERIE_A,2024-08-30,17:30,Serie A,Venezia,Torino,0,1,3.52,3.28,2.2,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,0,0,2,1.2,1.2,0.0,0.0,1.0,1.0,0.5,1.5,1.0,0.0,1.2,1.2,0.0,1.0,1.0,0.0,2.0,1.5,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,-2.0,0.96,0.9333333333333333,10.0,4.0,1.0,0.84,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0
20240830_INTER_ATALANTA_SERIE_A,2024-08-30,19:45,Serie A,Inter,Atalanta,4,0,1.58,4.35,5.54,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,0,0,1.2,1.2,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,1.2,1.2,0.0,1.0,0.0,1.0,2.5,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,4.0,2.0,0.84,0.7333333333333333,10.0,3.0,3.0,0.88,0.8,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
20240831_BOLOGNA_EMPOLI_SERIE_A,2024-08-31,17:30,Serie A,Bologna,Empoli,1,1,1.65,3.75,5.76,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,0,1,1,1.2,1.2,0.0,0.0,1.0,1.0,0.5,2.0,1.0,0.0,1.2,1.2,0.0,1.0,1.0,0.0,1.0,0.5,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,1.0,-3.0,0.96,0.9333333333333333,10.0,4.0,1.0,0.84,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0
20240831_LECCE_CAGLIARI_SERIE_A,2024-08-31,17:30,Serie A,Lecce,Cagliari,1,0,2.28,3.2,3.4,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,0,0,0,1.2,1.2,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.2,1.2,0.0,0.0,2.0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,0.0,-6.0,1.0,1.0,10.0,2.0,0.0,0.92,0.8666666666666667,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
20240831_LAZIO_MILAN_SERIE_A,2024-08-31,19:45,Serie A,Lazio,Milan,2,2,2.89,3.44,2.45,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,1,1,1.2,1.2,0.0,1.0,0.0,1.0,2.0,1.5,3.0,0.0,1.2,1.2,0.0,0.0,1.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,3.0,1.0,0.88,0.8,10.0,1.0,-1.0,0.96,0.9333333333333333,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
20240831_NAPOLI_PARMA_SERIE_A,2024-08-31,19:45,Serie A,Napoli,Parma,2,1,1.49,4.55,6.58,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,1,0,1.2,1.2,0.0,1.0,0.0,1.0,1.5,1.5,3.0,0.0,1.2,1.2,0.0,1.0,1.0,0.0,1.5,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,3.0,0.0,0.88,0.8,10.0,4.0,1.0,0.84,0.7333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0
20240901_FIORENTINA_MONZA_SERIE_A,2024-09-01,17:30,Serie A,Fiorentina,Monza,2,2,1.69,3.86,5.09,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,1,1,1,1.2,1.2,0.0,0.0,2.0,0.0,0.5,0.5,2.0,0.0,1.2,1.2,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,2.0,0.0,0.92,0.8666666666666667,10.0,1.0,-1.0,0.96,0.9333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20240901_GENOA_VERONA_SERIE_A,2024-09-01,17:30,Serie A,Genoa,Verona,0,2,2.03,3.26,4.07,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,0,0,2,1.2,1.2,0.0,1.0,1.0,0.0,1.5,1.0,4.0,0.0,1.2,1.2,0.0,1.0,0.0,1.0,1.5,1.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,4.0,1.0,0.84,0.7333333333333333,10.0,3.0,0.0,0.88,0.8,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20240901_JUVENTUS_ROMA_SERIE_A,2024-09-01,19:45,Serie A,Juventus,Roma,0,0,1.77,3.68,4.82,1.2,1.2,1.2,1.2,,,0,0,0,0,,,,0,0,1,1.2,1.2,0.0,2.0,0.0,0.0,3.0,0.0,6.0,0.0,1.2,1.2,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,6.0,6.0,0.76,0.6,10.0,1.0,-1.0,0.96,0.9333333333333333,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
20240901_UDINESE_COMO_SERIE_A,2024-09-01,19:45,Serie A,Udinese,Como,1,0,2.07,3.38,3.77,1.2,1.2,1.2,1.2,,,0,0,0,1,,,,0,0,0,1.2,1.2,0.0,1.0,1.0,0.0,1.5,1.0,4.0,0.0,1.2,1.2,0.0,0.0,1.0,1.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,1.3,0.0,10.0,4.0,1.0,0.84,0.7333333333333333,10.0,1.0,-3.0,0.96,0.9333333333333333,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
